ATTR:0	·불 속성 부여
STAT:3	기운이 {7:00} 회복됐다
STAT:4	기운이 {7:00} 줄었다
STAT:5	HP와 기운이 조금 회복됐다
STAT:6	썩어 있었다
STAT:7	HP 최대치가 {7:00} 올랐다
STAT:8	HP 최대치가 {7:00} 내려갔다
STAT:9	조금 책의 의미를 알게 됐다
STAT:10	조금 발놀림에 자신이 붙었다
STAT:11	기운 최대치가 {7:00} 올랐다
STAT:12	기운 최대치가 {7:00} 내려갔다
STAT:13	HP가 {7:00} 회복됐다
STAT:14	HP와 기운이 모두 회복됐다
STAT:15	독이 빠져나갔다
STAT:16	HP가 {7:00} 회복되고 상태도 나아졌다
STAT:17	느긋해졌다
STAT:18	빨라졌다
STAT:19	짰다
STAT:20	책을 못 읽게 되어 버렸다
STAT:21	뭐든지 보이게 됐다
STAT:22	저주받은 장비가 벗겨졌다
STAT:23	식별한 것을 전부 잊어버렸다
STAT:24	슬슬 지쳐 왔다
STAT:25	왠지 멍해졌다
STAT:26	이제 비틀비틀하다
STAT:27	비틀거려서 더는 못 걷겠다
STAT:28	{7:01}에 저주가 걸려 있었다
STAT:29	효과가 없었다
STAT:30	{7:01}: 주머니가 가득 차서 못 줍는다
STAT:31	{7:01}, 도둑맞았다
STAT:32	장비한 아이템은 쓸 수 없습니다
STAT:34	{7:01} LV 업! 현재 LV{7:00}
STAT:35	{7:01} LV 다운! 현재 LV{7:00}
STAT:36	{7:01} LV 변화! 현재 LV{7:00}
STAT:37	<04>{7:01}<00> LV 업! 현재 LV{7:00}
STAT:39	<04>{7:01}<00> LV 다운! 현재 LV{7:00}
STAT:40	주머니 안이 가득 찼습니다
STAT:41	제대로 걸을 수 없게 됐다
STAT:42	힘이 나지 않게 됐다
STAT:43	걸어도 HP가 회복되지 않게 됐다
STAT:44	장비한 발톱이 수수께끼의 힘으로 부서졌다!
STAT:45	장비가 벗겨져 버렸다
STAT:46	기운이 완전히 회복됐다
STAT:47	HP가 완전히 회복됐다
STAT:48	장비품의 LV가 내려갔다
STAT:49	공격을 오일로 막았다
