MON:0	고블린
SKILL:115	궁니르의 창
SKILL:116	대해일
SKILL:117	테라 플레어
SKILL:118	천지붕괴
SKILL:119	명계육포격
SKILL:120	슈퍼 니들
SKILL:121	무 속성
SKILL:122	불 속성
SKILL:123	얼음 속성
SKILL:124	번개 속성
SKILL:125	바람 속성
SKILL:126	소환수
SKILL:127	무 타입
SKILL:128	부유 타입
SKILL:129	독 타입
SKILL:130	부활 타입
SKILL:131	불사 타입
SKILL:132	거인 타입
SKILL:133	망자 타입
SKILL:134	식물 타입
SKILL:135	용 타입
SKILL:136	머신 타입
SKILL:137	부유·불사 타입
SKILL:138	독·부활 타입
SKILL:139	망자·부활 타입
SKILL:140	식물·독 타입
SKILL:141	용·부유 타입
