MSG:1:6	저기요~!\n묵고 싶은데요~
MSG:1:70	어느 책으로든 불이 붙어
MSG:1:71	발톱은 발톱끼리{D}\n안장은 안장끼리\n섞는 거야
MSG:1:72	이렇게 해서 점점\n강하게 만드는 거야
MSG:1:73	알겠어?
MSG:1:74	있잖아, 빨간 구슬\n못 봤어?
MSG:1:75	모처럼 찾았는데\n떨어뜨려 버렸어
MSG:1:76	뭐, 됐어\n또 찾을 수 있겠지
MSG:1:77	엥?\n구슬이 뭐냐고?
MSG:1:78	신기한 힘이\n갇혀 있는\n빨간 구슬이야
MSG:1:79	쓰는 법은 말이야…
MSG:1:80	엥?\n먼저 말하지 말라고?
MSG:1:81	뭐 어때
MSG:1:82	쓰는 법은 말이야\n상대에게 부딪치면\n돼
MSG:1:83	너라면\n상대를 향해\n차면 돼
MSG:1:84	그거 좋아~
MSG:1:85	맞다 맞다\n파란 돌도\n있어
MSG:1:86	그것도\n좋단 말이지~
MSG:1:87	알고 싶어?
MSG:1:88	뭐, 들어 봐
MSG:1:89	파란 돌\n이것도 좀처럼\n안 보여
MSG:1:90	이건 쓰기만 해도\n신기한 일이 일어나
MSG:1:91	이거야말로\n희귀한 아이템이지
MSG:1:92	아, 희귀한 아이템을\n레어 아이템이라고 했던가?
MSG:1:93	이것저것 말해 놓고\n뭐하지만
MSG:1:94	던전 안으로\n내려오는 건{D}\n적당히 하는 게\n좋을 것 같아
MSG:1:95	무리하지 말고\n마을로 돌아가
MSG:1:97	엥?\n벌써 찾았다고?
MSG:1:98	제법인데
MSG:1:99	그거야말로\n희귀한 아이템이지
MSG:1:100	마침 잘 왔어
MSG:1:101	실은, 잔햄이\n1마리 들어와 버렸어
MSG:1:102	서둘러 던전에서\n데리고 나가려 했더니{D}\n마침 몬스터와\n딱 마주쳐서{D}\n놀라서\n어딘가로 가 버렸어
MSG:1:103	아, 맞다 맞다\n잔햄이란 건 말이야
MSG:1:104	작고, 폭신폭신하고\n배에 난 털이 하얘
MSG:1:105	엥?\n그게 아니라고?
MSG:1:106	어떻게 이 던전에\n들어올 수 있었냐고?
MSG:1:107	잔햄은 호기심이 강해서\n어디든 나타나
MSG:1:108	찾으면\n도와줘
MSG:1:109	그런데, 너\n아이템을 어떻게\n가지고 있는 거야
MSG:1:110	흠흠\n깃털 속에 아이템을 넣은\n주머니를 가지고 있구나
MSG:1:111	그럼, 이렇게\n깃털을 조금 더 펼쳐 봐
MSG:1:112	그래 그래
MSG:1:113	이제 조금 더\n주머니에 아이템이\n들어가게 됐어
MSG:1:114	다행이다\n무사해
MSG:1:115	그럼 나는\n이 녀석을 지상에 데려다줄게
MSG:1:116	너도 무리하지 말고\n돌아와
MSG:1:117	늘 찾아 주셔서\n감사합니다
MSG:1:118	저는 이 던전 안에서\n장사를 하고 있습니다
MSG:1:119	<04>카미라 아빠<00>?\n글쎄요?
MSG:1:120	저는\n<04>자니타<00>라고 합니다
MSG:1:121	앞으로 잘 부탁드립니다
MSG:1:122	그럼, 방금 말씀드린 대로\n저는 장사를\n하고 있습니다
MSG:1:123	뭔가 필요한 물건은\n없으신가요?
MSG:1:124	감사합니다
MSG:1:125	그럼, 다음엔 언제쯤\n가게를 열어 둘까요?
MSG:1:126	손님의 희망을\n여쭙겠습니다¶
MSG:1:127	또 뵙겠습니다
MSG:1:128	층쯤 뒤에¶
MSG:1:129	그럼, 제 쪽에서\n가게를 열어 두지요
MSG:1:130	아, 찾았다
MSG:1:131	잔햄 <04>도르<00> 군한테서\n맡아 온 물건이야
MSG:1:132	구해 준 답례로\n이걸 전해 달래
MSG:1:133	이건\n<02>햄 호루라기<00>라고 해
MSG:1:134	이걸 불면 <04>도르<00> 군이\n「아트라의 옷장」에서\n아이템을 1개 가져다줘
MSG:1:135	어때?\n굉장하지
MSG:1:136	하는 김에, 주머니도 가져왔어
MSG:1:137	이거면 아이템이 더 들어가
MSG:1:138	그래 그래, 그렇게
MSG:1:139	응, 그러면 돼
MSG:1:140	그럼, 확실히 전했다
MSG:1:141	이런 이런\n이런 곳까지\n와 버리시다니
MSG:1:142	하지만, 조금 곤란하군요\n이 몸의 주인은 욕망이 적어서\n좋은 던전이 안 만들어졌어요
MSG:1:143	뭐, 좋습니다\n모처럼 와 주셨으니\n대접을 해야겠지요
MSG:1:144	그럼, 즐겨 주시지요
MSG:1:145	살아남을 수 있다면 말이지…\n하하하…¶
MSG:1:146	여어\n또 왔네
MSG:1:147	<04>카미라 아빠<00>가\n살았다 싶었더니
MSG:1:148	이번엔 <04>아트라<00>인가…
MSG:1:149	그 녀석은 욕망이 커 보이니까\n던전도 크겠지
MSG:1:150	엥?\n왜 그렇게\n잘 아냐고?
MSG:1:151	어, 어, 어~\n그, 그건~
MSG:1:152	그건 그렇고!
MSG:1:153	새로 찾은 아이템을\n가져왔어
MSG:1:154	아마, 화분인 것\n같은데
MSG:1:155	잘 모르겠어
MSG:1:156	<04>카미라<00>한테 물어보면 돼
MSG:1:157	그 애는\n꽃을 좋아하니까{D}\n이 아이템 쓰는 법도\n알지 몰라
MSG:1:158	그럼 안녕\n내 정체는 비밀이야
MSG:1:159	흠, 흠
MSG:1:160	그렇군…
MSG:1:161	응?
MSG:1:162	너구나\n잠깐 기다려
MSG:1:163	이게 이렇게 돼 있고
MSG:1:164	게다가 이것도 이래서
MSG:1:165	이렇게 되면…
MSG:1:166	으음~, 굉장해
MSG:1:167	이미 알지도 모르지만\n용광로가 파워업했어
MSG:1:168	씨앗도 같이 합성하면\n여러 가지로 변하나 봐
MSG:1:169	하지만, 어떻게 변할지는\n해 봐야 알아
MSG:1:171	<04>라스크<00>한테도\n알려 줘야겠네…
MSG:1:172	헉!\n아, 아, 아무것도 아니야
MSG:1:173	그, 그러고 보니\n저번에 준 주머니는\n어때?
MSG:1:174	응?\n22개 들어간다고?
MSG:1:175	그거 이상하네\n제대로 들어 봐
MSG:1:177	봐, 더 들어가게\n됐어
MSG:1:178	어머\n오랜만입니다
MSG:1:179	<04>자니타<00>입니다
MSG:1:180	손님도 건강해 보이시네요
MSG:1:181	네?\n이 몸 말입니까
MSG:1:182	네, 당신의 친구\n<04>아트라<00> 씨입니다
MSG:1:183	음~\n<04>카미라 아빠<00> 씨?\n였던가요?
MSG:1:184	그분과는 비교도\n안 될 만큼{D}\n멋진 욕망을\n가지고 계시답니다
MSG:1:185	그럼, 오늘은 무엇을\n찾으시나요?
MSG:1:186	아!\n마침 잘 왔어
MSG:1:187	그런데, 너는\n늘 딱 좋을 때 오네
MSG:1:188	아, 맞다 맞다\n또 잔햄이 1마리\n섞여 들어왔어
MSG:1:189	미안하지만\n또 도와줘
MSG:1:190	정말~\n어디 간 거야
MSG:1:191	엥?\n뭐야 뭐야?
MSG:1:192	아~!{D}\n……자고 있어
MSG:1:193	자자\n돌아가자
MSG:1:194	찾아 줘서\n고마워
MSG:1:196	너도 참 질리지도 않네
MSG:1:197	<04>아트라<00>가 걱정돼?
MSG:1:198	그 녀석이 너한테 바깥세상을\n보여 줬다고?
MSG:1:199	그렇구나~\n사실은 좋은 녀석이네
MSG:1:200	그 녀석이랑 있으면\n이런저런 일이 있다고?
MSG:1:201	뭐, 그런 성격이니까\n이런저런 일이 있겠지
MSG:1:202	맞다 맞다…
MSG:1:203	어라?
MSG:1:204	뭐였더라?
MSG:1:205	하하하하\n뭐 하러 왔더라?
MSG:1:206	뭐, 됐어\n그럼 안녕~
MSG:1:207	어~이
MSG:1:208	생각났어
MSG:1:209	이걸 주려고\n왔어
MSG:1:210	내가 늘\n쓰는 주머니야
MSG:1:211	이거면 아이템을\n32개까지 가질 수 있어
MSG:1:212	나는 몸이 크니까\n조금 더 많이 가질 수 있지만
MSG:1:213	너라면 32개까지\n가질 수 있으면 충분하겠지
MSG:1:215	…분명\n이것뿐이었지?
MSG:1:216	아! 맞다 맞다\n이거 이거
MSG:1:217	화분을 1개 더\n찾았어
MSG:1:218	여기에 놓아둘게
MSG:1:219	<04>카미라 아빠<00>가\n사로잡히고{D}\n<04>아트라<00>가\n사로잡혔어
MSG:1:220	던전이 생겨났어
MSG:1:221	자수정에 사로잡힌 자의\n욕망을 바탕으로 던전을 만들어
MSG:1:222	나는 이걸 벌써\n몇 번이나 봐 왔어
MSG:1:223	자수정은 던전 안으로\n들어온 자의 의식과\n영혼을 빨아들여 커져
MSG:1:224	많이 빨아들이려고\n여러 아이템을 떨어뜨려\n꾀어 들이는 거야
MSG:1:225	그리고 터져
MSG:1:226	터져서 자기 분신을\n세상에 흩뿌리는 거야
MSG:1:227	여기 있는 자수정이\n마지막 1개였는데
MSG:1:228	저 마을 어딘가에\n잠들어 있는 것\n같았어
MSG:1:229	하지만, 밭 속일 줄은\n몰랐어
MSG:1:230	누군가 사로잡히기 전에\n어떻게든 찾아내려고\n했었는데
MSG:1:231	미안해\n끌어들여서
MSG:1:232	꽤 깊네
MSG:1:233	너 정말 굉장해
MSG:1:234	이렇게 깊은 곳까지\n오다니
MSG:1:235	<04>아트라<00>도 걱정이지만\n아이템도 신기해?
MSG:1:236	너는 좋겠다
MSG:1:237	나는 <04>크레르<00>라고\n자칭하고 있지만{D}\n사실은 내가 누군지\n몰라
MSG:1:238	아, 미안\n알기 쉽게 설명하자면
MSG:1:239	나는 눈을 떴을 때\n이미 던전 안에 있었어
MSG:1:240	알겠어?
MSG:1:241	나는 이 던전 안에서\n태어났어
MSG:1:242	무언가의 역할을 가지고
MSG:1:243	하지만 요즘이야\n그 역할을 알게 된 건
MSG:1:244	나는 말이야, 자수정에 사로잡혀\n마음이 비틀린 자가\n구원을 청하는 마음 그 자체야
MSG:1:245	확실히 나는 던전 안과\n지상을 맘대로 오갈 수 있지만{D}\n싸울 수는 없어
MSG:1:246	내 역할은 구원을 찾는\n거야
MSG:1:247	너를 도와서 구원으로\n이끄는 거야
MSG:1:248	알겠어?
MSG:1:249	으음…\n더 간단히\n정리하자면
MSG:1:250	<04>아트라<00>는 너한테 구원을\n바라고 있어{D}\n나는 그걸 돕는 게\n역할이야
MSG:1:251	힘내자
MSG:1:252	이런 이런\n또 당신입니까
MSG:1:253	그렇게 이 몸이\n소중한가요?
MSG:1:254	이 몸은 당신 따위\n제대로 생각하지 않아요
MSG:1:255	편리한 초코보로만\n생각하고 있어요
MSG:1:256	그건 아니야!
MSG:1:257	<04>아트라<00>는\n그런 생각 안 해
MSG:1:258	고마워\n<04>도르<00> 군
MSG:1:259	어떻게든\n늦지 않았어
MSG:1:260	생각하지 않는다고?
MSG:1:261	그래요, 당신 따위\n아무 생각도 안 해요
MSG:1:262	아니\n나는 알아
MSG:1:263	너한테 사로잡힌 자들의\n마음에서 태어난 나니까
MSG:1:264	늘 늘\n수고가 많으십니다\n<04>크레르<00> 군
MSG:1:265	하지만, 여기까지만\n해 주셔야겠군요
MSG:1:266	네, 안녕하세요
MSG:1:267	처음이시죠?
MSG:1:268	그럼, 잠깐 설명을\n해 드릴게요
MSG:1:269	가지고 계신 길을\n이 게임용\n슬롯 포인트로\n교환해 주세요
MSG:1:270	길과 슬롯 포인트\n교환은 이쪽 카운터
MSG:1:271	슬롯 포인트를\n아이템과 교환하는 건\n이쪽 카운터
MSG:1:272	아시겠어요?¶
MSG:1:273	그럼, 즐겁게 노세요
MSG:1:274	우선, 해 보세요
MSG:1:275	어느 것과 교환할까요?¶
MSG:1:276	겐지의 발톱     3000P\n길의 발톱      8000P\n치유의 발톱    10000P\n럭키 클로     15000P\n섀도 클로     30000P\n겐지의 안장     5000P\n아뮬렛 메일    10000P\n카운터 메일    30000P
MSG:1:277	주머니가 가득 찼네요
MSG:1:278	 1슬롯 포인트 : 100길\n몇 슬롯 포인트로 바꿀까요?¶
MSG:1:279	길이 부족해요
MSG:1:280	슬롯 포인트를 더 못 가져요
MSG:1:281	슬롯 포인트가 부족해요
MSG:1:282	슬롯 포인트 {7:00}P¶
MSG:1:283	…………
MSG:1:285	오늘은 여기까지야!\n<03>12월 23일<00>까지 기다려 줘!\n \n리셋 버튼을 눌러 주세요¶
MSG:1:286	○△□×
MSG:1:287	감수 나카무라 코이치의 선전\n「초코보의 이상한 던전」\n즐거우셨나요?\n아직 플레이해 보지 않은 분께는\n「풍래의 시렌」도 추천합니다\n잘 부탁해요!
