MSG:0:0	<02>세이브<00>할까요?¶
MSG:0:122	그래, 던전이\n있는 편이 마을이\n커지고{D}\n동료도 늘어나니까
MSG:0:123	으음~\n어쩐지 자수정에\n속고 있는 것 같은데…
MSG:0:124	어서 오세요
MSG:0:125	어머, 깃털이 참 고운\n초코보네요
MSG:0:126	엄마!\n아빠가 어디에도\n없어
MSG:0:127	어머~\n어디 가셨을까?
MSG:0:128	밭에도\n없었어
MSG:0:129	어머, 그러고 보니\n혹시 아이 아빠를\n못 보셨나요?
MSG:0:130	초록색 밀짚\n모자를 쓴\n초코보인데요
MSG:0:131	어!\n어디서 봤어?
MSG:0:132	어머?\n여관이요?¶
MSG:0:133	어!\n여관이라고?
MSG:0:134	엄마, 뭔가\n이상해
MSG:0:135	아직 영업도 안 하는\n여관인데…
MSG:0:136	그래, <04>카미라<00>\n부탁 좀 해도 될까?
MSG:0:137	<04>포크<00> 씨께\n이야기 좀\n전해 줄래?
MSG:0:138	알았어!\n다녀올게
MSG:0:139	어머\n미안해요{D}\n모처럼 와\n주셨는데
MSG:0:140	아이 아빠도 참\n어떻게 된 걸까
MSG:0:141	어머\n미안해요{D}\n가게 준비를\n못 했어요
MSG:0:142	남편이 없으면\n팔 물건이 없어요
MSG:0:143	어머, 당신\n뭘 가지고 있어요?
MSG:0:144	어머, 이거 좋네요
MSG:0:145	어디서 가져왔는지\n모르겠지만\n저한테 팔지 않을래요?
MSG:0:146	남편이 없어서\n팔 물건이 없어\n곤란했거든요
MSG:0:147	앞으로도 여러 가지\n가져와 주세요
MSG:0:148	아이 아빠는 어디\n간 걸까?
MSG:0:149	정말 이이도 참\n어디 간 걸까{D}\n이제 가게에 낼 물건도\n다 떨어졌는데
MSG:0:150	당신이 이것저것\n가져다준 덕분에\n가게도 잘되고 있어요
MSG:0:151	<04>포크<00> 씨한테\n들었어요
MSG:0:152	당신이 가져오는\n아이템은{D}\n던전에서 가지고\n돌아온 거고{D}\n그 던전을 만든 게\n남편이라고요
MSG:0:153	부탁이에요\n우리 남편을{D}\n남편을 구해 주세요
MSG:0:154	……\n아빠를 구해 줘!
MSG:0:155	그렇게 얌전하고\n온화한 아빠가…
MSG:0:156	난 꽃밖에 모르지만\n뭔가 도울 일이 있다면…
MSG:0:157	부탁해
MSG:0:158	고마워요\n당신 덕분이에요
MSG:0:159	드디어 남편도 회복됐어요
MSG:0:160	어머\n남편이라면 밭에 나갔어요
MSG:0:161	<04>아트라<00>는\n어떻게 되는 걸까…
MSG:0:162	아빠를…\n고마워
MSG:0:163	나도 뭔가\n돕게 해 줘
MSG:0:164	특이한 화분이네
MSG:0:165	던전 안에서\n찾은 거지?
MSG:0:166	씨앗이나 열매 없어?\n거기 줄 약도 없어?
MSG:0:167	씨앗이랑 약으로\n키워 보자
MSG:0:168	화분은 햇볕이\n잘 드는 곳에 두고…
MSG:0:169	뭘 심을지 정하면\n화분에 넣어 줘{D}\n그다음 돌보는 건 내가\n맡을게
MSG:0:170	아직 싹이 안 났어
MSG:0:171	싹이 났네
MSG:0:172	예쁜 꽃이네
MSG:0:173	이건 어떤 열매일까\n벌써 가져갈 거야?¶
MSG:0:174	잘 익었어\n가져갈 거야?¶
MSG:0:175	가지러 안 와서\n썩어 버렸어
MSG:0:176	미안\n더 둘 곳이 없어
MSG:0:177	   화분    ¶
MSG:0:178	뭘 심을래?¶
MSG:0:179	어떤 약을 줄래?¶
MSG:0:180	이걸로 키우는 거지?¶
MSG:0:181	알았어\n소중히 키울게
MSG:0:182	주머니가 가득 찼네\n맡기고 오는 게 어때?
MSG:0:183	고마워
MSG:0:184	아직도 내 안에서\n무슨 일이 있었는지…
MSG:0:185	위험한 일을 겪게 해서\n미안하네
MSG:0:186	자네들에게 길을 알려 준 뒤\n보라색 수정을 캐냈다네
MSG:0:187	내 안에서, 내가 아닌 무언가가\n점점 커져 갔지
MSG:0:188	그다음은 자네가 제일\n잘 알겠지
MSG:0:189	내 마음속에 그런\n마음이 있었다니…
MSG:0:190	어떤 마음에도 겉과 속이 있지\n하지만 속이 겉이 되는 일은\n있어서는 안 되네
MSG:0:191	하지만 그 수정은 마음의\n겉과 속을 뒤바꾼다네
MSG:0:192	용케 살아났군\n그리고, 미안하네
MSG:0:193	자네 친구가 사로잡히고 말았네
MSG:0:194	몸이 움직이게 되면\n그 밭을 더 조사해 보겠네{D}\n뭔가 알아낼지도 모르니
MSG:0:195	<04>아트라<00>도\n<04>남편<00>도 무사했네요
MSG:0:196	그래도 던전은 아직\n있네요
MSG:0:197	요즘은 던전이 있는 게\n당연하게 느껴져요
MSG:0:198	저 던전은 왜\n저기 있는 걸까요?
MSG:0:199	<04>아트라<00>도\n무사해서 다행이에요
MSG:0:200	여러 꽃이랑 씨앗을\n키울 수 있어서 재밌어
MSG:0:201	아무도 사라지지 않았는데\n던전이 있다니\n신기해
MSG:0:202	여어\n꽤 좋은 집이야
MSG:0:203	아무도 여관 안에\n던전이 있다는 걸\n모르는 것 같아
MSG:0:204	뭔지 모르겠지만\n느낌이 좋아
MSG:0:205	에휴~\n아무도 모른다는 건{D}\n보물은 우리 차지라는\n거라고
MSG:0:206	정말~\n알아듣고 있는 거야?
MSG:0:207	뭐, 됐어
MSG:0:208	여기에 <04>{B}<00>의\n방을 마련해 뒀어
MSG:0:209	던전에서 돌아오면\n여기서 쉬면 돼
MSG:0:210	일단\n쉬어 두는 게 어때
MSG:0:211	그럼 여관 앞에서\n기다릴게
MSG:0:212	맞다, 맡겨 두고 싶은\n아이템은 없어?
MSG:0:213	이 옷장 안에\n내가 맡아 둘게
MSG:0:214	하지만 옷장에는\n10개밖에 안 들어가
MSG:0:215	많이 맡기려면\n창고지기한테 말해 뒀으니까\n거기 맡기면 돼
MSG:0:216	뭔가 맡아 둘까?\n아니면 가져갈 거야?
MSG:0:217	맡긴다\n가져간다\n그만둔다
MSG:0:218	 아트라의 옷장 ¶
MSG:0:219	옷장 안이 가득 찼습니다
MSG:0:220	주머니 안이 가득 찼습니다
MSG:0:221	오!\n어서 와
MSG:0:222	어때\n뭔가 있었어?
MSG:0:223	흠흠
MSG:0:224	빨간 구슬에\n파란 돌이라
MSG:0:225	꽤\n좋아 보이는데
MSG:0:226	드디어 레어 아이템이라고\n부를 만한 걸 만날\n것 같아
MSG:0:227	흐음…\n처음 만났을 때는\n<04>카미라 아빠<00>였고{D}\n떠밀렸을 때는\n<04>자니타<00>였단 말이지
MSG:0:228	뭐! 됐어!\n아이템이 잔뜩 있으니까
MSG:0:229	사랑하는 <04>아트라<00>는\n{6:06}{6:3D}{6:06}{6:06}·{6:06}{6:06}·{6:06}{6:06}·{6:06}{6:06}·\n이제 없다
MSG:0:230	·{6:06}·{6:06}·{6:06}·{6:06}·{6:06}{D}\n미안!
MSG:0:231	수정이 너무\n예뻐서{D}\n뭘까 하고 생각했더니\n머리가 이상해져 버렸어
MSG:0:232	자, 사과는 했으니까{D}\n실은 사로잡혀 있을 때\n굉장한 걸 봤어
MSG:0:233	그 수정의 지식 속에\n우리가 모르는 아이템이\n잔뜩 있었어
MSG:0:234	저 던전 안에\n틀림없이 있어
MSG:0:235	뭔지 모르겠지만\n촌장이 찾던데
MSG:0:236	옆집 <04>라스크<00> 말인데\n낡아 빠진 기계를 고치는\n모양이야
MSG:0:237	기름이라도 바르면\n될 텐데
MSG:0:238	옆집 <04>라스크<00> 말인데\n또 다른 카드를 찾는\n모양이야
MSG:0:239	뭐든지 아이템을\n자기 집으로 보낼 수\n있대
MSG:0:240	<04>{B}<00>, 네가 가지고\n돌아온 아이템을 보고\n다들 놀라고 있어
MSG:0:241	신기하고 편리하니까\n다들 생활도 바뀌겠어
MSG:0:242	아이템을 척척 팔면\n우리 이름도 알려질 거야
MSG:0:243	아이템을 척척 팔면\n큰 부자야
MSG:0:244	이번 던전은…\n끝없이 이어져 있어…
MSG:0:245	끝이 없어…\n그런 냄새가 나
MSG:0:246	그럼\n가 볼까
MSG:0:247	헤에~\n이거 좋은데
MSG:0:248	정말로 여관 안이\n던전 그 자체가\n돼 버렸어
MSG:0:249	그럼 부탁해\n<04>{B}<00>!
MSG:0:250	난 마을을 돌면서\n정보를 모아 둘게
MSG:0:251	왜 그래?{D}\n괜찮다니까!\n어떻게든 될 거야!
MSG:0:252	좋아좋아\n힘내라고
MSG:0:253	이봐, 괜찮아?
MSG:0:254	정신을 잃었더니\n여기로 날아왔다고?
MSG:0:255	어떻게 된 거야?
MSG:0:256	……뭐, 됐어\n괜찮아 보이니까
MSG:0:257	그래서 좋은 건\n있었어?
MSG:0:258	뭐! 뭐라고!?\n소지품이 없어졌다고!
MSG:0:259	이런 세상에\n그래서 멀쩡했구나
MSG:0:260	<04>{B}<00>, 다음엔\n어떻게든 혼자 힘으로{D}\n돌아오라고
MSG:0:261	안 그러면…
MSG:0:262	부탁해
MSG:0:263	안녕하세요
MSG:0:264	실은 옷장 뒤에\n소중한 반지를 떨어뜨리고\n말았어요
MSG:0:265	뭔가 좋은 아이템은\n없을까요?
MSG:0:266	이 아이템으로는\n못 꺼낼 것 같네요
MSG:0:267	아, 이건!
MSG:0:268	고맙습니다\n드디어 꺼낼 수 있었어요
MSG:0:269	약소하지만\n답례를 받아 주세요
MSG:0:270	아니~ 그 뒤로\n버릇이 돼 버려서…
MSG:0:271	꽤 좋은 마을이에요\n앞으로 더 커질\n것 같네요
MSG:0:272	그런데 이 카드는\n최고예요
MSG:0:273	2층에서 1층으로 간단히\n내려갈 수 있으니까요
MSG:0:274	하지만 처음에 2층에 없으면\n땅에 파묻혀 버려요
MSG:0:275	이 마을에서 신기한 아이템을\n판다고 들어서\n이사 왔어요
MSG:0:276	우리 아이에게 들을 만한\n아이템을 찾으면 좋겠는데요
MSG:0:277	이 드레인 책으로\n이 아이에게 힘을\n나눠 주세요
MSG:0:278	조금만 더 있으면\n기운을 차릴 거예요
MSG:0:279	아아…
MSG:0:280	혈색이 돌아와요…
MSG:0:281	고맙습니다
MSG:0:282	뭐라고 감사드려야 할지
MSG:0:283	우리 애가 글쎄\n샘에서 두꺼비가 돼서\n놀고 있지 뭐예요
MSG:0:284	밖에서 놀고 싶다~
MSG:0:285	오빠는\n신기한 아이템이 떨어져 있는\n던전에 놀러 가는 거지?
MSG:0:286	나도 가고 싶다~
MSG:0:287	와아\n오빠 고마워
MSG:0:288	엄마가 말이야\n두꺼비가 돼서 너무 놀지 말래
MSG:0:289	꽤 큰 마을이\n됐네요
MSG:0:290	아직도\n변할 거예요
MSG:0:291	아직 변할 곳이\n있어요
MSG:0:292	조금 더 뭔가\n변할 거예요
MSG:0:293	굉장해요\n멋진 마을이네요
MSG:0:294	분명, 자네들을 만난 게\n여기였지
MSG:0:295	<04>아트라<00> 군은\n무사할까…
MSG:0:296	나는 이 밭을\n더 넓혀서{D}\n이 마을을 풍요롭게\n만들고 싶다네
MSG:0:297	허수아비가 없어져 버렸어
MSG:0:298	아무도 사로잡히지 않았는데\n던전은 저기 있어{D}\n어째서일까…
MSG:0:299	던전은 누군가의 욕망을\n바탕으로 펼쳐지지{D}\n그럼 누구의 욕망일까…
MSG:0:300	SEE EVENT?¶
MSG:0:301	WAIT\nNOT DONE YET
MSG:0:302	WHICH ONE?¶
MSG:0:303	SHOP FLAG\nSCENARIO FLAG\nAERO BOOK\nBLINK CARD\nSPRING CARD\nMONITOR OFF\nTHUNDER BOOK\nEXIT
MSG:0:304	000\n100\n150\n200\n250\n300\nEXIT
MSG:0:305	START\nCHIP AFTER\nPART 2\nPART 3\nEXIT
MSG:0:306	00\n10\n20\n30\n40\n50\nEXIT
MSG:0:307	00\n30\n50\n70\nEXIT
MSG:0:308	NO MONITOR¶
MSG:0:309	 00\n 10\n 20\n 30\n 40\n 50\n 60\n 70\n 80\n 90\n100\nEXIT
MSG:0:310	환영합니다!\n공략 포인트는 책, 발톱, 안장을\n잘 키우는 것입니다\n무리하게 파고들지 말고 텔레포 카드로\n마을에 돌아와 LV를 올립시다\n    감수 나카무라 코이치
